huvitisesaaja,kokku,sõidukulud,side_ja_postikulud,lähetuskulud,majutuskulud,bürookulud,koolituskulud,tõlketeenuse_kulud,uuringud_ja_ekspertiisid,esindus_ja_vastuvõtukulud,tervishoiuteenused
Eerik-Niiles Kross,17843.55,2559.44,597.14,7243.70,251.00,5393.54,,,,1798.73,
Eero Merilind,18490.47,5219.17,369.44,,,299.78,10203.33,,1964.30,434.45,
Enn Eesmaa,11339.51,10560.99,162.26,,,,,,,616.26,
Ester Karuse,18353.96,4811.15,2503.79,3907.02,87.86,1333.55,69.71,,,5640.88,
Evelin Poolamets,18491.69,5839.71,2071.95,1464.71,104.50,1277.32,,185.80,563.20,6984.50,
Grigore-Kalev Stoicescu,9624.56,1577.83,770.45,7178.92,,,,,,97.36,
Hanah Lahe,18346.59,1183.09,1622.89,11028.91,87.78,166.40,,,,4257.52,
Hele Everaus,2261.34,982.73,174.21,838.84,,265.56,,,,,
Helir-Valdor Seeder,14679.58,8641.62,993.72,,,191.49,,,,4852.75,
Heljo Pikhof,16475.31,11184.08,1626.23,,87.86,59.00,1604.71,,,1913.43,
Helle-Moonika Helme,17872.74,1826.73,326.98,6320.22,178.00,3093.88,700.00,185.80,100.00,5141.13,
Helmen Kütt,16544.80,3145.12,377.03,580.60,,,69.71,,,12372.34,
Hendrik Johannes Terras,2715.84,1905.11,52.20,,,,200.00,,,558.53,
Henn Põlluaas,18220.81,9433.82,970.84,1777.55,,546.27,,,,5492.33,
Igor Taro,3714.40,1983.91,188.13,,,,,,,1542.36,
Irja Lutsar,3297.73,649.24,,214.55,,250.00,,,512.50,1671.44,
Jaak Aab,12997.75,7832.66,2070.79,,166.84,,490.07,,,2437.39,
Jaak Valge,5399.75,,,3762.48,,975.00,,37.20,512.50,112.57,
Jaanus Karilaid,13972.61,9697.37,2743.31,,,111.00,,,,1420.93,
Juku-Kalle Raid,14149.46,1863.27,,9608.81,,,,,,2677.38,
Jüri Jaanson,14743.40,3109.61,2868.71,4241.76,,,2681.20,239.92,,1602.20,
Kadri Tali,10886.00,2761.96,2677.67,2162.55,484.50,,,,,2799.32,
Kalle Grünthal,7463.42,3655.38,,1047.16,417.00,2343.88,,,,,
Kalle Laanet,16338.84,8841.69,1308.89,1546.22,,,99.20,,,4542.84,
Karmen Joller,4147.39,263.71,391.02,3167.47,,,,,,325.19,
Katrin Kuusemäe,17286.68,8736.38,2730.33,,230.78,25.80,,,,5563.39,
Kersti Sarapuu,8139.24,1565.10,1401.81,,,,,,,5172.33,
Kert Kingo,4309.86,651.83,495.41,,,,,,2097.70,1064.92,
Kristina Šmigun-Vähi,17945.67,8913.43,1969.77,,,,99.20,,,6963.27,
Kristo Enn Vaga,18261.61,7845.36,1838.64,6134.76,,396.50,,,,2046.35,
Lauri Hussar,225.00,,,225.00,,,,,,,
Lauri Läänemets,13313.72,8370.88,1968.86,,439.35,,69.71,,,2464.92,
Lauri Laats,18680.72,8643.09,4246.95,,,2398.16,,,,3392.52,
Lea Danilson-Järg,188.72,172.77,15.95,,,,,,,,
Leo Kunnas,12329.73,,,,,10955.00,,,,1374.73,
Liina Kersna,10113.18,5846.43,764.93,,,,,,,3501.82,
Luisa Rõivas,17704.18,7281.34,2167.09,375.00,,248.88,,,,7631.87,
Madis Kallas,15019.92,12416.11,594.34,,209.86,,69.71,,,1729.90,
Madis Timpson,16953.92,9444.02,2222.86,215.70,222.78,91.27,,,,4757.29,
Maido Ruusmann,18502.42,9837.82,157.65,3882.58,87.78,,1116.00,,,3420.59,
Mait Klaassen,9300.99,5352.65,743.08,,,,,,,3205.26,
Marek Reinaas,13444.29,1637.91,,10836.05,404.00,,,,,566.33,
Margit Sutrop,18669.96,9688.64,875.19,3559.64,,1735.70,119.20,,,2691.59,
Maria Jufereva-Skuratovski,17773.37,7243.28,1477.72,1307.75,,107.88,,,,7636.74,
Mario Kadastik,18545.93,8138.25,2952.42,5869.60,,403.00,89.00,,,1093.66,
Maris Lauri,4637.49,,2687.03,177.60,,164.75,,,,1608.11,
Marko Mihkelson,18706.77,8966.25,2167.09,6929.12,87.78,,,,,556.53,
Mart Helme,15519.28,3776.84,121.84,,54.00,3095.00,,185.79,97.72,8188.09,
Mart Maastik,12182.08,9217.51,121.88,,80.00,,,,,2762.69,
Mart Võrklaev,18369.56,9140.67,1376.11,5981.36,,,341.30,,,1530.12,
Martin Helme,18706.77,10251.19,1745.09,5804.38,,717.42,,,,74.69,114.00
Mati Raidma,14815.62,9132.13,1571.30,3708.19,,,,,,404.00,
Meelis Kiili,18673.28,7404.85,116.48,,,10340.98,,,,810.97,
Mihkel Lees,17807.92,8795.87,3146.96,2290.91,,,,,,3574.18,
Õnne Pillak,15166.94,7578.20,2246.51,,,,99.20,,,5243.03,
Peeter Ernits,11964.46,8984.95,1154.22,,612.00,85.74,,,,1127.55,
Peeter Tali,17834.25,9685.17,1074.19,200.00,109.00,364.58,,,,6401.31,
Pipi-Liis Siemann,13809.87,10285.75,599.00,,,,,,,2925.12,
Priit Lomp,2966.46,1647.61,127.42,,87.86,,,,,1103.57,
Priit Sibul,14844.53,8788.70,1564.08,,,12.00,,,,4479.75,
Raimond Kaljulaid,18706.77,10141.34,2519.80,3256.33,333.84,961.31,142.91,,,1351.24,
Rain Epler,18706.77,10240.59,362.13,5557.71,,1053.50,,185.80,,1307.04,
Raul-Stig Rästa,2901.78,2901.78,,,,,,,,,
Reili Rand,18706.77,7816.56,2091.05,3615.00,129.01,,69.71,,,4985.44,
Rene Kokk,4677.52,2975.00,,,,1000.00,,185.82,492.70,24.00,
Riina Sikkut,11160.44,4710.75,1289.54,969.03,,82.96,69.71,,,4038.45,
Riina Solman,16725.59,5781.81,2362.10,943.40,,,,,,7638.28,
Signe Kivi,9609.24,5083.22,1475.68,1639.96,753.85,104.94,,,,551.59,
Signe Riisalo,6548.81,1493.57,1998.23,,136.00,,294.40,,,2626.61,
Tanel Kiik,11437.73,7886.93,1583.89,,87.86,,69.71,,,1809.34,
Tanel Tein,14596.51,3202.78,822.53,,,1860.00,5476.40,,3050.00,184.80,
Tarmo Tamm,18706.77,10457.25,1997.97,,,3314.79,2294.00,,,642.76,
Tiit Maran,17452.15,7979.46,1167.41,5742.76,239.76,964.52,170.71,,,1187.53,
Timo Suslov,12795.83,8008.51,1414.15,,158.88,168.64,,,,3045.65,
Tõnis Lukas,7148.12,4979.06,545.91,1418.90,,,,,,204.25,
Tõnis Mölder,13801.67,10222.23,2710.02,,,,,,,869.42,
Toomas Järveoja,8667.35,6174.33,301.36,,87.76,,99.20,,,2004.70,
Toomas Kivimägi,17691.63,8709.09,332.10,3684.11,180.50,97.18,99.20,,,4589.45,
Toomas Uibo,11473.02,5002.62,,6386.00,,,,,,84.40,
Urmas Kruuse,13638.08,9716.26,1602.81,,,,99.20,,,2219.81,
Urmas Reinsalu,18301.78,8928.25,5206.41,3991.66,,,,,,175.46,
Urve Tiidus,3547.73,1541.15,139.10,,,,99.20,,,1768.28,
Vadim Belobrovtsev,15530.11,8698.23,2491.69,1016.08,,,61.00,,,3263.11,
Valdo Randpere,12537.28,10203.10,1844.32,,,,,,,489.86,
Varro Vooglaid,11467.32,2309.78,602.05,,,1343.81,,152.32,625.20,6434.16,
Vilja Toomast,17084.85,9798.05,2325.84,,959.00,123.41,,,,3878.55,
Vladimir Arhipov,18140.28,11492.63,1012.75,,,359.60,,,,5275.30,
Yoko Alender,13789.17,4621.20,2019.13,6695.07,,,,,,453.77,
Züleyxa Izmailova,14816.08,718.59,920.69,,137.86,7148.53,69.77,,,5820.64,
