huvitisesaaja,kokku,sõidukulud,side_ja_postikulud,lähetuskulud,majutuskulud,bürookulud,koolituskulud,tõlketeenuse_kulud,uuringud_ja_ekspertiisid,esindus_ja_vastuvõtukulud,tervishoiuteenused
KOKKU,1452594.71,676317.01,137884.50,193248.10,9027.12,72099.45,28234.99,1832.31,15523.10,318200.13,228.00
Aivar Kokk,16963.65,9053.10,3084.76,,,2307.36,,,,2518.43,
Aivar Sõerd,13026.83,8828.99,1843.84,,,844.72,,,,1509.28,
Alar Laneman,11506.68,8064.02,995.64,450.00,,,,,,1997.02,
Aleksandr Tšaplõgin,15594.14,4573.98,892.46,,,73.34,,,,10054.36,
Aleksei Jevgrafov,17705.67,10892.56,3303.34,,,39.92,660.00,,,2809.85,
Anastassia Kovalenko-Kõlvart,13150.16,10258.15,1936.55,,,,,31.99,,923.47,
Ando Kiviberg,18706.77,8854.52,,8107.74,,,,,,1744.51,
Andre Hanimägi,13200.38,5127.79,2601.70,1096.59,,1414.39,69.71,,,2890.20,
Andrei Korobeinik,17327.35,2377.68,2734.62,5376.24,,,,,,6838.81,
Andres Metsoja,12609.83,5963.35,872.06,,,,,,,5774.42,
Andres Sutt,3588.30,1811.86,544.86,809.25,,162.35,,,,259.98,
Andrus Seeme,16091.04,10323.47,859.47,,87.78,,,,,4820.32,
Annely Akkermann,16894.81,6802.54,1323.00,3507.60,87.78,328.75,99.20,,,4745.94,
Anti Allas,16239.00,7462.59,937.44,,,,69.71,,,7769.26,
Anti Haugas,17819.22,10971.23,1238.08,,,,,,,5609.91,
Anti Poolamets,18706.77,4507.87,923.53,5395.56,800.51,778.40,,185.80,1224.08,4891.02,
Ants Frosch,12543.62,11220.66,911.84,,,,,,,411.12,
Arvo Aller,18678.24,8252.30,,,,,100.00,256.07,563.20,9392.67,114.00
Diana Ingerainen,7627.41,2301.83,,,,,,,3720.00,1605.58,
Eduard Odinets,3161.84,1904.03,432.80,,356.20,117.70,,,,351.11,
