erakond,huvitisesaaja,limiit,kulud,kasutamata,kasutatud_pct
Eesti Keskerakond,Aleksandr Tšaplõgin,21012.06,18536.46,2475.60,"88,2%"
Eesti Keskerakond,Aleksei Jevgrafov,21012.06,18854.24,2157.82,"89,7%"
Eesti Keskerakond,Anastassia Kovalenko-Kõlvart,21012.06,17923.94,3088.12,"85,3%"
Eesti Keskerakond,Andrei Korobeinik,21012.06,15235.48,5776.58,"72,5%"
Eesti Keskerakond,Lauri Laats,21012.06,20847.33,164.73,"99,2%"
Eesti Keskerakond,Vadim Belobrovtsev,21012.06,18425.85,2586.21,"87,7%"
Eesti Keskerakond,Vladimir Arhipov,10358.85,10342.56,16.29,"99,8%"
Eesti Reformierakond,Aivar Sõerd,21012.06,12898.19,8113.87,"61,4%"
Eesti Reformierakond,Andres Sutt,21012.06,15371.03,5641.03,"73,2%"
Eesti Reformierakond,Andrus Seeme,21012.06,15739.76,5272.30,"74,9%"
Eesti Reformierakond,Annely Akkermann,21012.06,19434.78,1577.28,"92,5%"
Eesti Reformierakond,Anti Haugas,21012.06,15314.93,5697.13,"72,9%"
Eesti Reformierakond,Ants Laaneots,9171.73,2341.71,6830.02,"25,5%"
Eesti Reformierakond,Eerik-Niiles Kross,21012.06,19332.03,1680.03,"92,0%"
Eesti Reformierakond,Eero Merilind,21012.06,20310.18,701.88,"96,7%"
Eesti Reformierakond,Erkki Keldo,11521.27,7961.55,3559.72,"69,1%"
Eesti Reformierakond,Hanah Lahe,21012.06,19729.95,1282.11,"93,9%"
Eesti Reformierakond,Hele Everaus,9432.91,3016.71,6416.20,"32,0%"
Eesti Reformierakond,Jürgen Ligi,11521.27,7657.97,3863.30,"66,5%"
Eesti Reformierakond,Jüri Jaanson,6757.36,2765.30,3992.06,"40,9%"
Eesti Reformierakond,Kaja Kallas,57.88,0.00,57.88,"0,0%"
Eesti Reformierakond,Kalle Laanet,16145.91,10381.98,5763.93,"64,3%"
Eesti Reformierakond,Karmen Joller,21012.06,10812.23,10199.83,"51,5%"
Eesti Reformierakond,Katrin Kuusemäe,21012.06,21012.06,0.00,"100,0%"
Eesti Reformierakond,Kristina Šmigun-Vähi,21012.06,16427.02,4585.04,"78,2%"
Eesti Reformierakond,Kristo Enn Vaga,21012.06,17186.95,3825.11,"81,8%"
