erakond,huvitisesaaja,limiit,kulud,kasutamata,kasutatud_pct
Eesti Reformierakond,Liina Kersna,21012.06,12522.00,8490.06,"59,6%"
Eesti Reformierakond,Luisa Rõivas,21012.06,19686.22,1325.84,"93,7%"
Eesti Reformierakond,Madis Timpson,9490.79,4658.35,4832.44,"49,1%"
Eesti Reformierakond,Maido Ruusmann,21012.06,20171.24,840.82,"96,0%"
Eesti Reformierakond,Mait Klaassen,21012.06,9874.40,11137.66,"47,0%"
Eesti Reformierakond,Margit Sutrop,21012.06,12481.23,8530.83,"59,4%"
Eesti Reformierakond,Mario Kadastik,21012.06,16885.11,4126.95,"80,4%"
Eesti Reformierakond,Maris Lauri,21012.06,6164.72,14847.34,"29,3%"
Eesti Reformierakond,Marko Mihkelson,21012.06,16804.40,4207.66,"80,0%"
Eesti Reformierakond,Mart Võrklaev,9432.91,7793.88,1639.03,"82,6%"
Eesti Reformierakond,Mati Raidma,21012.06,19021.50,1990.56,"90,5%"
Eesti Reformierakond,Meelis Kiili,21012.06,8607.57,12404.49,"41,0%"
Eesti Reformierakond,Mihkel Lees,11840.33,8790.18,3050.15,"74,2%"
Eesti Reformierakond,Õnne Pillak,21012.06,14774.41,6237.65,"70,3%"
Eesti Reformierakond,Pärtel-Peeter Pere,5703.35,5517.33,186.02,"96,7%"
Eesti Reformierakond,Pipi-Liis Siemann,21012.06,14522.24,6489.82,"69,1%"
Eesti Reformierakond,Signe Kivi,21012.06,9361.92,11650.14,"44,6%"
Eesti Reformierakond,Siim Kallas,14194.90,2884.02,11310.88,"20,3%"
Eesti Reformierakond,Timo Suslov,21012.06,15155.36,5856.70,"72,1%"
Eesti Reformierakond,Toomas Kivimägi,21012.06,15766.25,5245.81,"75,0%"
Eesti Reformierakond,Urmas Kruuse,21012.06,12645.04,8367.02,"60,2%"
Eesti Reformierakond,Urve Tiidus,20116.98,2786.75,17330.23,"13,9%"
Eesti Reformierakond,Valdo Randpere,21012.06,11966.91,9045.15,"57,0%"
Eesti Reformierakond,Vilja Toomast,21012.06,18151.00,2861.06,"86,4%"
Eesti Reformierakond,Yoko Alender,11521.27,7050.59,4470.68,"61,2%"
Erakond Eesti 200,Ando Kiviberg,9490.79,3496.27,5994.52,"36,8%"
Erakond Eesti 200,Grigore-Kalev Stoicescu,21012.06,2446.32,18565.74,"11,6%"
Erakond Eesti 200,Hendrik Johannes Terras,21012.06,9048.49,11963.57,"43,1%"
Erakond Eesti 200,Igor Taro,21012.06,15695.76,5316.30,"74,7%"
Erakond Eesti 200,Irja Lutsar,21012.06,2941.20,18070.86,"14,0%"
Erakond Eesti 200,Juku-Kalle Raid,21012.06,11300.05,9712.01,"53,8%"
Erakond Eesti 200,Kadri Tali,21012.06,9752.45,11259.61,"46,4%"
Erakond Eesti 200,Lauri Hussar,21012.06,0.00,21012.06,"0,0%"
Erakond Eesti 200,Liisa-Ly Pakosta,11521.27,7120.65,4400.62,"61,8%"
Erakond Eesti 200,Marek Reinaas,21012.06,2577.94,18434.12,"12,3%"
Erakond Eesti 200,Peeter Tali,21012.06,13494.86,7517.20,"64,2%"
Erakond Eesti 200,Tanel Tein,21012.06,4891.04,16121.02,"23,3%"
Erakond Eesti 200,Tarmo Tamm,21012.06,21012.06,0.00,"100,0%"
Erakond Eesti 200,Toomas Uibo,21012.06,5887.62,15124.44,"28,0%"
Fraktsiooniväline,Alar Laneman,21012.06,14922.09,6089.97,"71,0%"
Fraktsiooniväline,Andre Hanimägi,21012.06,13183.18,7828.88,"62,7%"
Fraktsiooniväline,Ants Frosch,21012.06,16148.32,4863.74,"76,9%"
Fraktsiooniväline,Enn Eesmaa,21012.06,10222.76,10789.30,"48,7%"
Fraktsiooniväline,Ester Karuse,21012.06,19616.68,1395.38,"93,4%"
Fraktsiooniväline,Henn Põlluaas,21012.06,14669.35,6342.71,"69,8%"
Fraktsiooniväline,Jaak Aab,21012.06,13527.73,7484.33,"64,4%"
Fraktsiooniväline,Jaak Valge,21012.06,9971.76,11040.30,"47,5%"
Fraktsiooniväline,Jaanus Karilaid,21012.06,15020.21,5991.85,"71,5%"
Fraktsiooniväline,Jüri Ratas,10653.21,1307.10,9346.11,"12,3%"
Fraktsiooniväline,Kalle Grünthal,21012.06,10393.08,10618.98,"49,5%"
Fraktsiooniväline,Kersti Sarapuu,21012.06,13425.65,7586.41,"63,9%"
Fraktsiooniväline,Leo Kunnas,21012.06,5007.10,16004.96,"23,8%"
Fraktsiooniväline,Maria Jufereva-Skuratovski,21012.06,18024.50,2987.56,"85,8%"
Fraktsiooniväline,Tanel Kiik,21012.06,14753.04,6259.02,"70,2%"
Fraktsiooniväline,Tõnis Mölder,21012.06,11979.53,9032.53,"57,0%"
Fraktsiooniväline,Züleyxa Izmailova,21012.06,3245.84,17766.22,"15,4%"
Isamaa,Aivar Kokk,21012.06,18641.64,2370.42,"88,7%"
Isamaa,Andres Metsoja,21012.06,11367.06,9645.00,"54,1%"
Isamaa,Helir-Valdor Seeder,21012.06,15629.90,5382.16,"74,4%"
Isamaa,Mart Maastik,21012.06,14961.06,6051.00,"71,2%"
Isamaa,Priit Sibul,21012.06,18217.39,2794.67,"86,7%"
Isamaa,Riina Solman,21012.06,17070.89,3941.17,"81,2%"
Isamaa,Tõnis Lukas,21012.06,9604.35,11407.71,"45,7%"
Isamaa,Urmas Reinsalu,21012.06,15296.95,5715.11,"72,8%"
Konservatiivne Rahvaerakond,Anti Poolamets,21012.06,19556.26,1455.80,"93,1%"
Konservatiivne Rahvaerakond,Arvo Aller,21012.06,18010.64,3001.42,"85,7%"
Konservatiivne Rahvaerakond,Evelin Poolamets,21012.06,18178.50,2833.56,"86,5%"
Konservatiivne Rahvaerakond,Helle-Moonika Helme,21012.06,12588.99,8423.07,"59,9%"
Konservatiivne Rahvaerakond,Kert Kingo,21012.06,9536.91,11475.15,"45,4%"
Konservatiivne Rahvaerakond,Mart Helme,21012.06,17782.90,3229.16,"84,6%"
Konservatiivne Rahvaerakond,Martin Helme,21012.06,18769.73,2242.33,"89,3%"
Konservatiivne Rahvaerakond,Rain Epler,21012.06,20523.65,488.41,"97,7%"
Konservatiivne Rahvaerakond,Rene Kokk,21012.06,3475.48,17536.58,"16,5%"
Konservatiivne Rahvaerakond,Siim Pohlak,21012.06,0.00,21012.06,"0,0%"
Konservatiivne Rahvaerakond,Varro Vooglaid,21012.06,6405.60,14606.46,"30,5%"
Sotsiaaldemokraatlik Erakond,Anti Allas,21012.06,18368.91,2643.15,"87,4%"
Sotsiaaldemokraatlik Erakond,Eduard Odinets,21012.06,21012.06,0.00,"100,0%"
Sotsiaaldemokraatlik Erakond,Heljo Pikhof,21012.06,18262.70,2749.36,"86,9%"
Sotsiaaldemokraatlik Erakond,Helmen Kütt,21012.06,16480.31,4531.75,"78,4%"
Sotsiaaldemokraatlik Erakond,Jevgeni Ossinovski,5703.35,5655.49,47.86,"99,2%"
Sotsiaaldemokraatlik Erakond,Madis Kallas,15189.12,11454.38,3734.74,"75,4%"
Sotsiaaldemokraatlik Erakond,Priit Lomp,21012.06,18411.23,2600.83,"87,6%"
Sotsiaaldemokraatlik Erakond,Raimond Kaljulaid,21012.06,18356.58,2655.48,"87,4%"
Sotsiaaldemokraatlik Erakond,Reili Rand,21012.06,16522.25,4489.81,"78,6%"
Sotsiaaldemokraatlik Erakond,Tiit Maran,21012.06,15462.27,5549.79,"73,6%"
,KOKKU,2121922.91,1392589.50,729333.41,"65,6%"
