huvitisesaaja,kokku,sõidukulud,side_ja_postikulud,lähetuskulud,majutuskulud,bürookulud,koolituskulud,tõlketeenuse_kulud,uuringud_ja_ekspertiisid,esindus_ja_vastuvõtukulud,tervishoiuteenused
Raimond Kaljulaid,18356.58,9549.67,2172.48,1777.65,227.31,1485.64,924.76,,214.31,2004.76,
Rain Epler,20523.65,12130.75,738.32,2791.88,85.00,1169.66,366.67,,,3241.37,
Reili Rand,16522.25,7898.41,2562.34,,115.10,82.96,3004.18,,92.31,2766.95,
Rene Kokk,3475.48,2829.15,,,85.00,408.64,,,,152.69,
Riina Solman,17070.89,7127.58,2036.26,578.48,139.96,,,,,7188.61,
Signe Kivi,9361.92,5340.94,1581.10,512.60,1182.57,163.79,,,,580.92,
Siim Kallas,2884.02,1451.04,1082.61,,119.35,,,,,231.02,
Tanel Kiik,14753.04,8536.89,1470.95,,391.03,354.90,,,92.31,3906.96,
Tanel Tein,4891.04,3973.95,840.09,,77.00,,,,,,
Tarmo Tamm,21012.06,10125.70,1856.92,4830.51,,2071.98,,,,2126.95,
Tiit Maran,15462.27,8544.78,1592.84,557.56,269.03,993.10,1830.00,,92.31,1582.65,
Timo Suslov,15155.36,6702.91,1596.81,2570.02,342.46,,314.76,,,3628.40,
Tõnis Lukas,9604.35,5830.63,622.93,1333.70,339.88,,185.00,,,1292.21,
Tõnis Mölder,11979.53,9196.39,2477.92,,,,,,,305.22,
Toomas Kivimägi,15766.25,8144.96,329.40,4264.84,227.48,321.03,,,,2369.54,109.00
Toomas Uibo,5887.62,1995.73,,3169.18,158.00,,,,,564.71,
Urmas Kruuse,12645.04,8942.54,1343.99,,165.36,78.00,,,,2115.15,
Urmas Reinsalu,15296.95,8566.68,2648.45,3068.40,59.88,,,,,953.54,
Urve Tiidus,2786.75,1885.88,154.19,,,,,,,746.68,
Vadim Belobrovtsev,18425.85,8159.40,2388.76,,328.98,1728.32,,,,5820.39,
Valdo Randpere,11966.91,9240.89,1693.22,668.71,119.36,,,,,244.73,
Varro Vooglaid,6405.60,2429.20,30.70,2530.09,85.00,408.57,,,658.50,263.54,
Vilja Toomast,18151.00,9620.56,3058.51,,1946.18,84.92,,,,3440.83,
Vladimir Arhipov,10342.56,3355.55,512.34,,158.17,530.40,,,122.00,5664.10,
Yoko Alender,7050.59,3617.75,1633.31,755.58,290.38,11.66,,,,741.91,
Züleyxa Izmailova,3245.84,606.88,916.50,267.74,,208.95,,,,1245.77,
KOKKU,1392589.50,642054.83,130169.25,132713.17,22683.51,55349.74,40047.21,3295.27,17941.29,348226.23,109.00
