huvitisesaaja,kokku,sõidukulud,side_ja_postikulud,lähetuskulud,majutuskulud,bürookulud,koolituskulud,tõlketeenuse_kulud,uuringud_ja_ekspertiisid,esindus_ja_vastuvõtukulud,tervishoiuteenused
Aivar Kokk,18641.64,9203.43,3319.36,,139.88,3145.48,,,,2833.49,
Aivar Sõerd,12898.19,8746.16,1682.54,,317.35,921.06,,,,1231.08,
Alar Laneman,14922.09,7699.91,1033.96,,,408.57,1082.63,,,4697.02,
Aleksandr Tšaplõgin,18536.46,2609.16,1128.61,,328.88,1962.94,,2388.55,,10118.32,
Aleksei Jevgrafov,18854.24,10348.12,2870.37,,329.02,1728.32,330.00,,,3248.41,
Anastassia Kovalenko-Kõlvart,17923.94,5652.84,4074.74,2312.23,329.02,3348.36,,,,2206.75,
Ando Kiviberg,3496.27,825.00,,280.00,,165.92,,,,2225.35,
Andre Hanimägi,13183.18,6760.50,1592.95,,238.31,138.60,,,92.28,4360.54,
Andrei Korobeinik,15235.48,2138.45,2609.15,2933.49,329.02,1728.32,,,,5497.05,
Andres Metsoja,11367.06,6323.66,946.09,,424.88,,,,,3672.43,
Andres Sutt,15371.03,8540.48,2169.79,2630.85,440.53,605.46,,,,983.92,
Andrus Seeme,15739.76,10158.46,838.59,,119.35,360.00,,,,4263.36,
Annely Akkermann,19434.78,7276.17,1377.65,2531.45,440.52,300.00,198.43,,,7310.56,
Anti Allas,18368.91,5695.52,1200.07,,301.23,,927.20,,92.31,10152.58,
Anti Haugas,15314.93,11059.76,897.40,,221.46,,,,,3136.31,
Anti Poolamets,19556.26,3887.57,896.50,710.00,414.00,733.10,666.67,112.74,,12135.68,
Ants Frosch,16148.32,12252.44,1276.13,,,408.57,300.00,,250.00,1661.18,
Ants Laaneots,2341.71,1359.60,,,50.57,,,,,931.54,
Arvo Aller,18010.64,8090.32,337.94,2495.00,171.00,408.57,1082.67,,250.00,5175.14,
Eduard Odinets,21012.06,9394.38,2077.29,5980.83,1185.53,122.96,,,92.31,2158.76,
Eerik-Niiles Kross,19332.03,2212.06,,14662.70,152.68,1832.60,,,,471.99,
Eero Merilind,20310.18,3270.49,1043.69,,50.57,1909.02,9991.13,,3504.47,540.81,
Enn Eesmaa,10222.76,8667.55,158.53,972.80,,,,,,423.88,
Erkki Keldo,7961.55,5320.64,542.62,,165.35,,,,,1932.94,
Ester Karuse,19616.68,5395.53,1660.45,4335.96,231.02,1301.64,,,92.31,6599.77,
Evelin Poolamets,18178.50,6065.18,2030.30,710.00,85.00,531.79,166.67,112.74,,8476.82,
Grigore-Kalev Stoicescu,2446.32,981.03,540.24,550.00,170.00,,,,,205.05,
Hanah Lahe,19729.95,2226.27,1437.78,3074.27,656.66,1290.99,4753.29,,,6290.69,
Hele Everaus,3016.71,1443.55,380.14,,,795.64,,,,397.38,
Helir-Valdor Seeder,15629.90,7933.91,1042.74,,239.88,50.90,,,,6362.47,
Heljo Pikhof,18262.70,10917.13,1699.86,,191.31,289.00,1000.00,,92.31,4073.09,
Helle-Moonika Helme,12588.99,2252.56,129.15,1294.20,85.00,458.55,166.67,,1498.37,6704.49,
Helmen Kütt,16480.31,3176.13,743.49,4131.97,109.31,60.00,,,92.31,8167.10,
Hendrik Johannes Terras,9048.49,6298.26,233.33,,,,1650.00,,,866.90,
Henn Põlluaas,14669.35,8918.67,1252.95,250.00,144.00,510.70,366.67,,549.61,2676.75,
Igor Taro,15695.76,7040.75,1537.27,734.59,77.00,,,,,6306.15,
Irja Lutsar,2941.20,822.60,,752.85,86.00,,,,,1279.75,
Jaak Aab,13527.73,8193.15,1501.80,,512.25,,100.00,,92.31,3128.22,
Jaak Valge,9971.76,1529.70,878.60,2275.41,80.00,408.57,166.67,,1458.11,3174.70,
Jaanus Karilaid,15020.21,9749.84,2981.32,,59.88,,,,,2229.17,
Jevgeni Ossinovski,5655.49,1755.85,421.63,,101.05,127.50,1730.00,,92.31,1427.15,
Juku-Kalle Raid,11300.05,2095.13,,4404.35,,,,,,4800.57,
Jürgen Ligi,7657.97,5540.56,633.18,,290.28,,,,,1193.95,
Jüri Jaanson,2765.30,1313.12,609.36,254.12,,82.96,,,,505.74,
Jüri Ratas,1307.10,,,,,,,,,1307.10,
Kadri Tali,9752.45,2719.69,2250.54,88.80,130.90,,580.00,,,3982.52,
Kalle Grünthal,10393.08,4412.87,,,140.00,5389.40,,,,450.81,
Kalle Laanet,10381.98,6867.65,779.40,564.10,,71.98,,,,2098.85,
Karmen Joller,10812.23,1317.72,1100.88,4236.56,323.77,525.92,227.43,,,3079.95,
Katrin Kuusemäe,21012.06,9651.08,1789.38,1723.55,119.35,82.96,1113.42,,,6532.32,
Kersti Sarapuu,13425.65,2848.20,1519.16,1106.38,,,1893.40,,,6058.51,
Kert Kingo,9536.91,3188.73,1800.90,,,406.13,166.67,,960.75,3013.73,
Kristina Šmigun-Vähi,16427.02,9082.43,2119.15,,50.57,,256.14,,,4918.73,
Kristo Enn Vaga,17186.95,5352.20,1899.67,4385.96,137.24,,,,,5411.88,
Lauri Laats,20847.33,8667.95,3837.95,2506.63,329.01,3734.62,,,,1771.17,
Leo Kunnas,5007.10,832.65,,,85.00,408.57,466.67,,250.00,2964.21,
Liina Kersna,12522.00,8018.23,790.88,,221.46,,,,,3491.43,
Liisa-Ly Pakosta,7120.65,4751.02,248.82,,316.90,,,,,1803.91,
Luisa Rõivas,19686.22,8277.05,1531.59,2385.40,96.57,270.00,,,,7125.61,
Madis Kallas,11454.38,9091.41,245.95,,159.92,,,,,1957.10,
Madis Timpson,4658.35,2263.43,449.72,,,82.60,198.43,,,1664.17,
Maido Ruusmann,20171.24,10506.32,23.57,,244.28,,1098.00,,,8299.07,
Mait Klaassen,9874.40,4214.84,639.88,,165.37,,,,3660.00,1194.31,
Marek Reinaas,2577.94,1479.94,,430.00,668.00,,,,,,
Margit Sutrop,12481.23,8921.06,1019.63,,260.81,1567.38,,,,712.35,
Maria Jufereva-Skuratovski,18024.50,7217.46,1563.37,,,,,625.86,,8617.81,
Mario Kadastik,16885.11,5551.62,2683.87,3471.56,165.35,396.50,730.78,,,3885.43,
Maris Lauri,6164.72,334.21,2301.49,1703.32,165.35,649.25,198.43,,,812.67,
Marko Mihkelson,16804.40,9392.64,1424.24,4933.22,322.49,,,,,731.81,
Mart Helme,17782.90,3752.77,99.33,,86.00,552.57,1082.67,,2459.11,9750.45,
Mart Maastik,14961.06,9740.85,125.04,2475.00,59.88,,,,,2560.29,
Mart Võrklaev,7793.88,3271.52,413.15,3176.16,210.24,,,,,722.81,
Martin Helme,18769.73,12442.99,1354.12,1614.67,85.00,861.54,532.67,,998.37,880.37,
Mati Raidma,19021.50,9062.70,1667.34,7369.99,137.24,82.96,,,,701.27,
Meelis Kiili,8607.57,7404.79,,250.00,184.28,,,,,768.50,
Mihkel Lees,8790.18,5120.64,1197.42,,172.51,82.96,,25.38,,2191.27,
Õnne Pillak,14774.41,8095.77,2119.21,,464.65,,198.43,,,3896.35,
Pärtel-Peeter Pere,5517.33,1450.13,163.45,,50.57,3522.91,,30.00,,300.27,
Peeter Tali,13494.86,4353.12,1034.85,2337.86,136.50,322.88,,,,5309.65,
Pipi-Liis Siemann,14522.24,9379.84,404.42,,217.59,,,,,4520.39,
Priit Lomp,18411.23,9479.31,1158.74,,376.56,,,,92.31,7304.31,
Priit Sibul,18217.39,6593.60,3283.64,,219.88,100.00,,,,8020.27,
