huvitisesaaja,kokku,sõidukulud,side_ja_postikulud,lähetuskulud,majutuskulud,bürookulud,koolituskulud,tõlketeenuse_kulud,uuringud_ja_ekspertiisid,esindus_ja_vastuvõtukulud,tervishoiuteenused
Pärtel-Peeter Pere,14074.82,1645.71,549.06,2995.21,,2935.67,865.42,1244.40,3600.00,239.35,
Peeter Tali,5444.94,2523.21,46.66,485.00,,163.20,,,,2226.87,
Pipi-Liis Siemann,9023.64,6512.29,39.92,,84.38,718.20,338.62,,,1330.23,
Priit Lomp,12888.51,6689.00,364.79,,,,,,,5834.72,
Priit Sibul,11807.82,4873.85,4981.76,,,185.78,,,,1766.43,
Raimond Kaljulaid,13648.34,7111.45,1330.89,1410.51,516.80,893.48,718.80,,,1666.41,
Rain Epler,14598.45,9606.17,449.25,200.00,,1165.89,688.00,,197.44,2291.70,
Reili Rand,11817.79,7018.79,1548.09,,247.80,,432.00,,,2571.11,
Rene Kokk,3546.77,1866.37,,,,1551.83,,,110.77,17.80,
Riina Solman,9610.97,4649.19,1514.00,105.58,,118.58,210.00,,,3013.62,
Signe Kivi,7606.91,4118.08,746.36,,721.60,127.66,338.62,,,1554.59,
Siim Kallas,3571.07,2148.99,1118.82,,,,,,,303.26,
Tanel Kiik,8009.66,5215.08,742.75,,273.54,118.57,,,,1659.72,
Tanel Tein,1901.25,1647.55,253.70,,,,,,,,
Tarmo Tamm,7560.28,4186.62,,,284.00,,238.80,,,2850.86,
Tiit Maran,4279.97,2677.44,806.35,,162.50,255.28,,,,378.40,
Timo Suslov,8244.38,4308.97,1229.27,,84.37,,,,,2621.77,
Tõnis Lukas,4946.99,4209.32,350.32,,60.00,118.58,,,,208.77,
Tõnis Mölder,14576.89,7313.81,3924.96,,160.07,2168.41,,,,1009.64,
Toomas Kivimägi,11844.56,6330.95,243.00,,189.00,726.16,,,,4355.45,
Toomas Uibo,6925.41,,,6925.41,,,,,,,
Urmas Kruuse,9500.14,6396.25,797.49,,,,338.62,,,1967.78,
Urmas Reinsalu,11317.45,6555.83,1487.27,2534.62,,118.58,,,,621.15,
Urve Tiidus,2034.73,1176.14,128.48,,,,,,,730.11,
Vadim Belobrovtsev,10866.83,5787.03,1308.52,,338.41,118.57,,,,3314.30,
Valdo Randpere,8073.75,6803.77,1030.62,,,,,,,239.36,
Varro Vooglaid,10637.09,1709.49,,1581.23,105.00,2651.67,,,110.77,4401.93,77.00
Vilja Toomast,13017.80,7309.18,1846.87,,490.00,74.92,,,,3296.83,
Yoko Alender,10071.43,4489.88,1858.18,1272.00,81.00,8.34,937.42,,,1424.61,
Züleyxa Izmailova,864.80,190.27,638.56,,,,,,,35.97,
KOKKU,944606.82,434376.36,90460.72,67864.36,12941.21,59441.60,20841.23,2578.69,7621.20,248327.45,154.00
